team,atk_overall,atk_shooting,atk_pace,atk_dribbling,mid_overall,mid_passing,mid_physic,def_overall,def_defending,def_physic,gk_overall,top11_overall,squad_depth,avg_caps,atk_xG_per90,atk_xA_per90
Scotland,72.60738916256157,71.30344827586207,74.42068965517241,70.73103448275862,77.21739130434783,73.56304347826087,75.2891304347826,73.95934959349593,72.25474254742548,75.18834688346884,68.74757281553399,77.95454545454545,7.6878787878787875,37.42307692307692,,
DR Congo,73.20866141732283,62.375984251968504,67.19094488188976,63.84842519685039,70.65248226950355,65.9645390070922,68.00354609929079,74.74204355108878,69.24120603015075,76.80904522613065,70.76415094339623,76.63636363636364,7.436363636363637,30.615384615384617,,
Uzbekistan,75.130615640599,72.50748752079866,79.0,75.75374376039933,74.02255639097744,71.51127819548873,70.14285714285714,74.61930294906166,73.03217158176943,76.0,73.0,75.5,2.1666666666666714,32.07692307692308,,
Ghana,73.98305084745763,70.37457627118644,82.2271186440678,75.43559322033899,73.98866213151928,66.82539682539682,73.26530612244898,73.34597875569044,72.4309559939302,73.42033383915023,70.08571428571429,77.0909090909091,6.9575757575757535,21.576923076923077,,
Saudi Arabia,69.11740041928721,62.0377358490566,74.06079664570231,68.9874213836478,69.04358353510897,68.44067796610169,69.15254237288136,69.60143884892086,64.94244604316546,72.38273381294964,65.68367346938776,73.0909090909091,7.9575757575757535,35.65384615384615,,
Turkey,77.24531024531025,74.98845598845598,78.95093795093796,79.02453102453103,79.41919191919192,77.55555555555556,77.11868686868686,76.4410480349345,71.24745269286754,75.32459970887919,77.72103004291846,80.27272727272727,5.206060606060603,37.30769230769231,,
Morocco,74.93530997304582,72.4177897574124,79.66307277628033,76.0754716981132,74.95542347696879,71.6225854383358,68.15304606240713,75.14605067064083,68.48733233979135,74.51862891207153,75.66371681415929,79.72727272727273,8.793939393939397,25.76923076923077,0.16280010719555793,0.17311934331072074
Czech Republic,75.87334593572778,73.65973534971644,71.94517958412098,72.68431001890359,73.54901960784314,69.89411764705882,74.8529411764706,73.51739788199697,71.29046898638427,75.40242057488653,74.6875,77.36363636363636,5.830303030303028,27.807692307692307,,
England,83.71111111111111,82.28205128205128,81.07179487179488,81.65128205128205,82.78892733564014,80.13321799307958,77.87889273356402,79.11814345991561,78.85091420534458,76.63150492264417,80.4688796680498,84.9090909090909,6.175757575757572,32.19230769230769,0.5554482889290732,0.22825852840093777
Tunisia,71.5997191011236,68.0814606741573,76.9747191011236,73.0561797752809,72.74827586206897,68.64137931034483,70.58275862068966,69.5693641618497,64.03323699421965,68.61127167630057,69.46376811594203,74.9090909090909,7.509090909090901,22.384615384615383,,
France,86.24709784411277,83.25207296849088,85.90381426202322,86.59038142620233,81.76923076923077,77.42832167832168,76.22027972027972,83.23262032085562,81.70053475935829,80.79144385026738,80.13807531380753,86.72727272727273,6.193939393939402,30.884615384615383,,
Paraguay,75.62568908489526,74.49724366041896,72.58103638368247,76.03307607497244,72.10835913312694,67.45820433436532,67.74613003095975,71.69473684210526,67.1421052631579,72.18771929824561,68.06862745098039,75.68181818181819,6.281818181818181,26.53846153846154,,
Cape Verde,61.48351648351648,37.20879120879121,51.34065934065934,41.005494505494504,68.31946144430844,55.45899632802938,60.75030599755202,69.31159420289855,52.32065217391305,61.43659420289855,64.39896373056995,71.9090909090909,8.375757575757575,31.73076923076923,,
Uruguay,75.74074074074075,71.65873015873017,77.92592592592592,75.69047619047619,76.60239520958083,62.27425149700599,64.2191616766467,76.83551401869158,76.5626168224299,74.73271028037384,72.78801843317973,81.27272727272727,9.87272727272726,35.88461538461539,,
Egypt,79.28079710144928,70.91304347826087,75.92028985507247,76.84057971014492,75.0,72.0,72.0,72.37716262975779,71.09688581314879,74.8166089965398,76.04950495049505,78.27272727272727,5.139393939393926,31.576923076923077,,
Qatar,73.02977099236641,70.54503816793893,78.45343511450382,72.38320610687023,69.3757225433526,62.36416184971098,69.69364161849711,70.85220125786164,68.75314465408805,74.62578616352201,69.20289855072464,74.9090909090909,6.9090909090909065,54.46153846153846,,
Australia,65.28076923076924,61.475,76.76923076923077,66.54230769230769,68.34124629080118,63.34124629080119,72.96439169139465,68.20648967551622,66.1268436578171,71.83038348082596,71.40375586854461,72.18181818181819,8.581818181818186,28.23076923076923,,
Iraq,71.28427419354838,68.56451612903226,77.76612903225806,71.4475806451613,68.1344537815126,64.39495798319328,67.92857142857143,71.29420970266041,63.9264475743349,73.24569640062597,73.0,74.63636363636364,7.3696969696969745,31.807692307692307,,
Ecuador,66.77987082884822,54.98708288482239,69.16146393972014,60.22389666307858,73.28178694158076,68.77491408934708,67.25429553264605,77.31818181818181,74.21915584415585,76.08441558441558,71.70697674418605,78.04545454545455,10.11212121212121,29.653846153846153,,
Ivory Coast,74.45430711610487,67.38501872659177,80.13258426966293,74.32209737827715,74.87024608501119,70.32662192393737,72.91946308724832,77.99518459069022,76.19422150882825,79.776886035313,73.17351598173516,79.27272727272727,6.972727272727269,27.03846153846154,0.2773541978862229,0.23149997248956697
Spain,81.81538461538462,77.4676923076923,78.10923076923076,81.83076923076923,86.3907284768212,82.66887417218543,75.91721854304636,81.4,78.49384615384615,75.98615384615384,85.03137254901961,86.72727272727273,6.393939393939405,28.576923076923077,0.44579298773386,0.23167583624181567
Mexico,75.20367278797997,64.78631051752922,68.8330550918197,67.07345575959933,75.13333333333334,61.82333333333333,62.14333333333333,74.61302681992338,71.94252873563218,75.76819923371647,72.6697247706422,77.81818181818181,5.61818181818181,46.73076923076923,,
United States,76.85474860335195,74.16759776536313,82.81750465549348,77.59031657355679,76.12967032967033,72.21318681318681,75.12527472527472,74.01492537313433,71.16417910447761,75.76390773405699,70.74528301886792,78.81818181818181,7.218181818181819,37.0,,
Germany,80.01875,79.503125,72.721875,80.009375,81.25168539325843,77.88876404494383,72.44044943820225,83.44144144144144,80.94894894894895,78.57357357357357,82.68548387096774,85.27272727272727,6.206060606060603,32.46153846153846,0.5900134902913123,0.21982773821436913
Austria,72.66089965397924,69.88235294117646,61.134948096885815,71.68166089965398,75.14859926918392,68.72838002436053,67.06699147381242,77.07479674796748,76.73008130081301,77.44552845528456,70.76415094339623,79.0909090909091,7.9575757575757535,38.57692307692308,0.3405362996380038,0.13023186404223672
New Zealand,68.11904761904762,67.83333333333333,71.9047619047619,65.5,68.66883116883118,65.48376623376623,68.91558441558442,68.41693811074919,65.36644951140065,76.61889250814332,65.64285714285714,72.27272727272727,7.806060606060598,31.73076923076923,,
